CustomerID,SubscriptionType,MonthlyCharges,ContractEndDate,ServiceUsage,Gender,Age,TotalTransactions,Churn
C00047,Basic,78.28921193323083,2025-02-25,7.0,Female,35.0,33.0,0.0
C00048,Standard,69.0101010940725,2025-09-12,10.0,Male,47.0,4.0,0.0
C00049,Standard,73.87336476670201,2025-08-10,11.0,Male,34.0,14.0,0.0
C00050,Basic,50.17746828001202,2025-12-26,6.0,Male,63.0,18.0,0.0
C00051,Premium,28.383652937769316,2025-02-17,3.0,Female,47.0,15.0,1.0
C00052,Standard,73.93393427067349,2025-10-31,9.0,Male,47.0,29.0,1.0
C00053,Premium,44.87471275449105,2025-06-12,8.0,Female,50.0,10.0,0.0
C00054,Premium,28.677445655552138,2025-08-24,18.0,Female,34.0,34.0,0.0
C00055,Standard,85.87036298471936,2025-09-05,9.0,Female,56.0,,1.0
C00056,Premium,115.7909040924248,2025-12-31,16.0,Female,33.0,26.0,1.0
C00057,Basic,49.181805777592416,2025-04-10,12.0,Female,50.0,60.0,0.0
C00058,Basic,118.58991714033728,2025-01-21,8.0,Male,64.0,34.0,1.0
C00059,Basic,51.860057915318336,2025-04-12,8.0,Male,19.0,43.0,0.0
C00060,Basic,42.9415824244501,2025-01-05,14.0,Male,19.0,4.0,0.0
C00061,Basic,38.85511093478714,2025-07-16,14.0,Male,41.0,21.0,1.0
C00062,Basic,96.24104872903072,2025-05-29,8.0,Female,22.0,28.0,1.0
C00063,Premium,36.596970101665875,2025-12-11,9.0,Female,53.0,22.0,0.0
C00064,Basic,67.09642268842012,2025-11-26,11.0,Male,20.0,22.0,1.0
C00065,Basic,39.979126139992,2025-07-30,6.0,Female,57.0,19.0,1.0
C00066,Standard,41.59168636909459,2025-06-09,10.0,Female,49.0,9.0,0.0
C00067,Basic,75.49926212406072,2025-05-26,13.0,Female,31.0,55.0,1.0
C00068,Premium,42.9487810311061,2025-02-27,17.0,Male,55.0,7.0,0.0
C00069,Basic,42.5255407248916,2025-12-20,10.0,Male,72.0,10.0,0.0
C00070,Premium,78.66079583040371,2025-08-28,10.0,Female,60.0,15.0,0.0
C00071,Standard,94.72537566229902,2025-03-20,12.0,Female,,22.0,1.0
C00072,Basic,64.70891143635426,2025-06-01,10.0,Female,54.0,1.0,1.0
C00073,Basic,38.47909455243612,2025-01-05,9.0,Male,63.0,19.0,0.0
C00074,Premium,40.763195601434816,2025-06-30,4.0,Male,43.0,33.0,1.0
C00075,Standard,51.62412546147555,2025-12-18,13.0,Female,73.0,11.0,1.0
C00076,Standard,56.84879536136917,2025-07-20,,Female,34.0,26.0,1.0
C00077,Standard,,2025-05-13,12.0,Male,,42.0,1.0
C00078,Basic,66.76895194559674,2025-05-02,11.0,Male,28.0,50.0,1.0
C00079,Basic,51.73985308582913,2025-06-18,,Male,24.0,17.0,0.0
C00080,Basic,25.172186583313692,2025-12-20,15.0,Male,30.0,19.0,0.0
C00081,Premium,34.48251598182577,2025-12-12,12.0,Female,68.0,25.0,0.0
C00082,Standard,40.86898800558156,2025-11-04,14.0,Female,42.0,,0.0
C00083,Basic,48.56387442385656,2025-04-08,13.0,Male,67.0,3.0,1.0
C00084,Basic,106.4562948184094,2025-10-09,,Male,65.0,,1.0
C00085,Basic,54.99770889355499,2025-09-25,8.0,Female,29.0,9.0,1.0
C00086,Basic,35.72012478662337,2025-11-22,15.0,Female,48.0,49.0,1.0
,Standard,54.613184455840766,2025-12-06,11.0,Male,45.0,12.0,1.0
C00088,Standard,43.431626913922884,2025-01-19,8.0,Female,32.0,24.0,0.0
C00089,Premium,56.935912958848654,2025-05-12,13.0,Female,,21.0,0.0
C00090,Basic,63.070306493624805,2025-04-06,11.0,Female,28.0,32.0,1.0
C00091,Basic,81.10261983153858,2025-07-29,8.0,Male,56.0,7.0,1.0
C00092,Standard,49.51662180060727,2025-01-05,,Female,,27.0,0.0
C00093,Standard,96.313376774023,2025-05-08,12.0,,33.0,5.0,1.0
C00094,Standard,71.89682250116734,2025-02-23,4.0,Male,26.0,7.0,1.0
C00095,Standard,37.67690048760779,2025-07-17,5.0,Female,69.0,40.0,0.0
C00096,Basic,121.02114370895112,2025-07-25,12.0,Male,58.0,7.0,1.0
C00097,Standard,56.986865458925415,2025-06-29,2.0,Male,29.0,8.0,0.0
C00098,Basic,35.80090612495414,2025-08-29,12.0,Female,36.0,44.0,0.0
C00099,Basic,96.85240540298919,2025-10-01,9.0,Female,31.0,,1.0
C00100,Basic,114.79340557482038,2025-11-16,10.0,,29.0,16.0,1.0
C00101,Basic,49.34383825060634,2025-05-18,14.0,Female,41.0,39.0,0.0
C00102,Standard,40.87680966053093,2025-01-23,9.0,Male,26.0,22.0,0.0
C00103,Basic,46.668668173176556,2025-04-30,7.0,Female,38.0,21.0,0.0
C00104,Standard,66.5474812362536,2025-04-25,15.0,Male,29.0,,0.0
C00105,Premium,83.35975737567928,2025-03-23,8.0,Female,62.0,22.0,0.0
C00106,Basic,62.81651004785972,2025-07-15,,Male,54.0,,0.0
C00107,Basic,52.076421753863826,2025-06-29,8.0,Female,22.0,20.0,0.0
C00108,Standard,91.03351300949335,2025-12-18,8.0,Female,26.0,21.0,1.0
C00109,Basic,44.11890680034083,2025-06-24,13.0,Female,74.0,3.0,1.0
C00110,Basic,75.51948789590868,2025-07-17,11.0,Male,68.0,30.0,1.0
C00111,Basic,44.55827513666562,2025-01-26,13.0,Male,37.0,10.0,1.0
C00112,Basic,59.40819552379939,2025-04-09,12.0,Male,23.0,4.0,1.0
C00113,Premium,47.779562223216885,2025-08-21,5.0,Male,,,1.0
C00114,Premium,48.89534180671779,2025-07-10,12.0,Male,67.0,46.0,1.0
C00115,Standard,42.99433653123353,2025-03-07,14.0,Female,,5.0,0.0
C00116,Premium,85.62391439473873,2025-09-03,9.0,Male,33.0,24.0,1.0
C00117,Premium,37.29475089923268,2025-04-14,,Male,,20.0,0.0
C00118,Basic,37.1859166309702,2025-07-10,3.0,Female,22.0,38.0,0.0
C00119,Premium,116.79501991442973,2025-05-21,9.0,Male,71.0,9.0,1.0
C00120,Standard,73.9332035835318,2025-06-28,,Male,60.0,15.0,1.0
C00121,Premium,19.2589815500574,2025-09-18,8.0,Male,34.0,34.0,0.0
C00122,Premium,39.881777277857424,2025-06-24,6.0,Male,71.0,,0.0
C00123,Basic,24.221175480306453,2025-06-13,8.0,Male,27.0,3.0,1.0
C00124,Basic,34.18362499401639,2025-01-19,16.0,Female,47.0,12.0,0.0
C00125,Basic,14.248008448313774,2025-01-20,10.0,Female,24.0,4.0,0.0
C00126,Basic,47.3339205267333,2025-10-14,14.0,Female,,23.0,0.0
C00127,Premium,31.666086374971343,2025-12-27,9.0,Female,28.0,7.0,0.0
C00128,Premium,51.21257504038598,2025-08-27,15.0,Female,25.0,,0.0
C00129,Basic,26.10102281500402,2025-02-13,5.0,Female,68.0,20.0,0.0
C00130,Standard,51.68604108472069,2025-07-15,11.0,,54.0,7.0,0.0
C00131,Basic,42.35373005927715,2025-07-14,14.0,Male,48.0,32.0,0.0
C00132,Basic,91.17713851727521,2025-12-23,14.0,Female,65.0,36.0,1.0
C00133,Basic,87.93217249008863,2025-12-11,13.0,Female,18.0,10.0,1.0
C00134,Basic,68.45394932968146,2025-02-18,11.0,Female,42.0,7.0,0.0
C00135,Premium,43.87643962281144,2025-02-28,,Male,45.0,12.0,0.0
C00136,Basic,110.62821483179788,2025-05-12,14.0,Male,40.0,17.0,1.0
C00137,Standard,26.86458547924166,2025-06-16,10.0,Female,68.0,13.0,0.0
C00138,Standard,28.519827684294388,2025-05-15,8.0,Female,46.0,9.0,1.0
C00139,Basic,48.352105377602534,2025-03-30,11.0,Male,39.0,24.0,0.0
C00140,Premium,123.17895897790838,2025-09-28,8.0,Male,27.0,16.0,1.0
C00141,Premium,46.11265584932264,2025-09-20,,Male,,9.0,0.0
C00142,Basic,46.466187992120545,2025-04-26,7.0,Male,34.0,47.0,1.0
C00143,Basic,,2025-07-15,8.0,Female,30.0,8.0,0.0
C00144,Basic,,2025-12-20,9.0,Male,33.0,15.0,0.0
C00145,Basic,73.2071802614364,2025-04-18,9.0,Male,68.0,15.0,1.0
C00146,Basic,68.55614783827926,2025-12-28,8.0,Male,29.0,22.0,0.0
C00147,Standard,38.87435335045685,2025-02-16,13.0,Male,65.0,35.0,0.0
C00148,Standard,37.68794560424046,2025-08-29,8.0,Female,66.0,2.0,1.0
C00149,Basic,29.80791926236696,2025-11-05,13.0,Female,32.0,34.0,0.0
C00150,Basic,51.70590575004222,2025-08-18,9.0,Male,56.0,18.0,1.0
C00151,Premium,32.45518042535378,2025-09-02,10.0,Male,36.0,35.0,1.0
C00152,Basic,31.21992158298701,2025-11-12,7.0,Male,38.0,48.0,0.0
C00153,Basic,42.20533853729359,2025-09-07,8.0,Female,49.0,14.0,0.0
C00154,Basic,41.11448676184615,2025-03-18,8.0,Female,22.0,9.0,0.0
C00155,Premium,40.31935368107384,2025-03-03,,Female,74.0,4.0,0.0
C00156,Basic,60.255921166494616,2025-02-28,14.0,Female,64.0,13.0,1.0
C00157,Standard,,2025-08-26,12.0,Female,32.0,13.0,0.0
C00158,Standard,44.55661346195824,2025-07-08,13.0,Male,49.0,11.0,0.0
C00159,Basic,53.79756343085004,2025-02-25,12.0,Male,18.0,6.0,1.0
C00160,Standard,33.629786895238475,2025-03-19,10.0,Female,32.0,20.0,0.0
C00161,Basic,52.15053576813616,2025-08-10,11.0,Male,52.0,2.0,0.0
C00162,Standard,53.10462384759771,2025-02-16,7.0,Female,37.0,33.0,1.0
C00163,,27.407159138292542,2025-05-18,,Male,48.0,39.0,0.0
C00164,Standard,74.46286220297326,2025-01-24,18.0,Female,37.0,35.0,1.0
C00165,Basic,35.14384595237264,2025-01-29,9.0,Male,64.0,17.0,1.0
C00166,Premium,51.839215825708855,2025-05-15,15.0,Male,,20.0,0.0
C00167,Basic,79.6616030851084,2025-12-17,9.0,Male,57.0,27.0,1.0
C00168,Basic,72.40632869702338,2025-12-16,,Male,69.0,24.0,0.0
C00169,Basic,50.6914045568063,2025-10-08,,Female,27.0,21.0,0.0
C00170,Standard,157.97599300147314,2025-10-19,12.0,Male,31.0,52.0,1.0
C00171,Standard,73.0414997144305,2025-07-08,13.0,Female,74.0,12.0,1.0
C00172,Basic,65.49023165960338,2025-03-12,12.0,Female,74.0,14.0,0.0
C00173,Standard,39.04352296713971,2025-07-25,16.0,Female,52.0,,0.0
C00174,Basic,36.381687108412315,2025-08-30,4.0,Male,46.0,21.0,1.0
C00175,Standard,21.825541943829045,2025-11-02,10.0,Female,26.0,29.0,1.0
C00176,Basic,53.177519545176345,2025-07-03,11.0,Female,73.0,,1.0
C00177,Standard,48.37310161217726,2025-05-08,10.0,,69.0,15.0,0.0
C00178,Basic,78.7674275374699,2025-08-18,10.0,Female,27.0,35.0,1.0
C00179,Premium,57.72238439980014,2025-02-10,9.0,Male,70.0,4.0,1.0
C00180,Basic,85.26079051393577,2025-10-08,7.0,Female,19.0,11.0,0.0
C00181,Basic,37.82904955652097,2025-06-11,14.0,Female,40.0,17.0,1.0
C00182,Basic,78.8291725056036,2025-11-08,17.0,Male,35.0,24.0,0.0
C00183,Premium,40.46577089952783,2025-12-06,4.0,Female,18.0,22.0,0.0
C00184,Premium,68.24208319165832,2025-06-07,13.0,Male,28.0,3.0,1.0
C00185,Basic,27.897013732349016,2025-11-20,10.0,Female,54.0,4.0,0.0
C00186,Standard,54.930960065047564,2025-01-21,13.0,Male,73.0,61.0,0.0
C00187,Premium,22.604473492804843,2025-12-13,10.0,Male,,23.0,0.0
C00188,Standard,44.93279868562537,2025-01-10,18.0,Male,50.0,,0.0
C00189,Standard,59.63034584571837,2025-03-28,10.0,Female,53.0,5.0,1.0
C00190,Basic,40.59462160039519,2025-02-02,10.0,Female,74.0,24.0,0.0
C00191,Basic,32.846590642423706,2025-12-27,8.0,Female,41.0,9.0,0.0
C00192,Premium,70.13839720950817,2025-12-05,7.0,Male,,3.0,1.0
C00193,Premium,47.97297778102053,2025-07-22,10.0,Female,40.0,12.0,1.0
C00194,Standard,,2025-01-04,18.0,Female,71.0,22.0,0.0
C00195,Basic,50.84497888136869,2025-01-23,14.0,Female,39.0,21.0,1.0
C00196,Basic,143.55104155080124,2025-07-16,10.0,Male,50.0,,1.0
C00197,Standard,79.31475249636972,2025-11-05,7.0,Female,64.0,11.0,
C00198,Premium,79.60305509492105,2025-10-01,9.0,Female,36.0,13.0,1.0
C00199,Premium,59.51578271103024,2025-09-30,14.0,Male,51.0,15.0,0.0
C00200,Standard,53.44307744333083,2025-04-17,11.0,Female,40.0,,0.0
C00201,Standard,19.174669096863227,2025-07-19,11.0,Female,63.0,6.0,1.0
C00202,Basic,38.10825277113983,2025-12-09,8.0,Male,43.0,27.0,0.0
C00203,Basic,41.25586317051535,2025-08-03,11.0,Male,39.0,27.0,1.0
C00204,Premium,23.619347365739326,2025-01-02,7.0,Female,20.0,5.0,0.0
C00205,Standard,31.470691663620983,2025-05-01,10.0,Male,21.0,11.0,0.0
C00206,Basic,22.63932451679085,2025-04-13,3.0,Female,50.0,27.0,0.0
C00207,Basic,49.23936824662693,2025-05-29,12.0,Male,28.0,6.0,0.0
C00208,Standard,69.37519575578821,2025-06-01,12.0,Female,37.0,6.0,0.0
C00209,Basic,77.84602310302573,,13.0,Male,67.0,70.0,1.0
C00210,Basic,59.02356614010615,2025-06-15,5.0,Female,49.0,9.0,0.0
C00211,Standard,34.010335677962736,2025-11-02,8.0,Male,70.0,4.0,1.0
C00212,Standard,23.08532056194869,2025-06-16,6.0,Female,,40.0,0.0
C00213,Standard,24.761140913879693,2025-11-12,6.0,Male,32.0,5.0,0.0
C00214,Basic,30.097134699809132,2025-12-30,11.0,Female,,27.0,0.0
C00215,Standard,35.03960966167898,2025-10-22,10.0,Male,74.0,,0.0
C00216,Basic,46.904968416697606,2025-03-12,7.0,Female,34.0,24.0,1.0
C00217,Basic,33.326648032400946,2025-05-08,12.0,Female,39.0,,0.0
C00218,Standard,57.26063348379526,2025-02-02,9.0,Female,51.0,15.0,0.0
C00219,Standard,45.56380285733227,2025-06-06,9.0,Female,50.0,19.0,1.0
C00220,Premium,50.211359709123904,2025-11-26,12.0,Female,42.0,16.0,1.0
C00221,Standard,78.89542382578814,2025-09-23,7.0,Male,31.0,,1.0
C00222,Standard,,2025-07-23,9.0,Female,63.0,27.0,0.0
C00223,Basic,59.116190436161574,2025-07-14,12.0,Male,67.0,26.0,1.0
C00224,Basic,49.72131498187851,2025-04-19,9.0,Male,47.0,16.0,1.0
C00225,Basic,43.75598892022626,2025-06-08,13.0,Male,39.0,35.0,1.0
C00226,Basic,71.24506358809867,2025-10-10,8.0,Female,39.0,5.0,1.0
C00227,Premium,,2025-01-27,7.0,Female,36.0,17.0,0.0
C00228,Basic,34.24110034607628,2025-08-15,10.0,Male,55.0,25.0,0.0
C00229,Premium,46.48635236022937,2025-09-09,,Male,21.0,44.0,1.0
C00230,Standard,55.952755253068595,2025-09-22,9.0,Female,25.0,33.0,1.0
C00231,Standard,44.82743346863073,2025-09-19,12.0,Female,62.0,28.0,1.0
C00232,Standard,63.182763741248685,2025-05-14,10.0,Female,69.0,23.0,1.0
C00233,Standard,55.95231513772767,2025-01-26,,Female,56.0,35.0,0.0
C00234,Basic,,2025-02-12,11.0,Male,27.0,4.0,1.0
C00235,Basic,27.110235520385803,2025-01-19,14.0,Female,67.0,29.0,0.0
C00236,Standard,47.610275487623625,2025-01-16,10.0,Female,,31.0,0.0
C00237,Basic,34.76537780277394,2025-04-15,13.0,Male,71.0,19.0,0.0
C00238,Basic,63.6669753377554,2025-10-06,5.0,Female,38.0,27.0,1.0
C00239,Standard,26.184149568961285,2025-07-22,8.0,Male,18.0,21.0,0.0
C00240,Basic,57.42892461275259,2025-07-27,5.0,Male,54.0,11.0,1.0
C00241,Premium,38.86148405052655,2025-06-15,,Male,71.0,4.0,0.0
C00242,Premium,37.27631949606502,2025-02-28,9.0,Male,51.0,20.0,0.0
C00243,Premium,28.03415880664016,2025-02-17,10.0,Female,28.0,13.0,0.0
C00244,Basic,41.51241864574524,2025-05-28,11.0,Male,33.0,25.0,0.0
C00245,Basic,77.15552712640776,2025-10-04,11.0,Female,56.0,3.0,0.0
C00246,Premium,49.49875570650395,2025-06-27,8.0,Female,31.0,13.0,1.0
C00247,Basic,64.27014224218343,2025-10-16,5.0,Male,18.0,19.0,1.0
C00248,Premium,97.30785680790322,2025-04-24,13.0,Female,48.0,17.0,1.0
C00249,Premium,55.56342935076179,2025-10-23,6.0,Female,61.0,,1.0
C00250,,39.984951730911106,2025-08-06,17.0,Male,60.0,35.0,1.0
C00251,Basic,60.275389825846595,2025-09-23,8.0,Female,66.0,41.0,1.0
C00252,Basic,40.217593410082486,2025-06-11,7.0,Female,29.0,16.0,1.0
C00253,Premium,40.86418193752289,2025-11-25,10.0,Female,44.0,20.0,1.0
C00254,Basic,27.22310021761985,2025-02-05,13.0,Male,34.0,18.0,0.0
C00255,Basic,72.42315015922921,2025-03-16,7.0,Male,67.0,,1.0
C00256,Standard,42.846414895823024,2025-05-15,10.0,Female,33.0,,0.0
C00257,Premium,53.777883955333024,2025-09-29,10.0,Male,18.0,28.0,0.0
C00258,Standard,33.03733329501537,2025-06-28,11.0,Male,72.0,16.0,1.0
C00259,Standard,59.525337206592475,2025-06-08,10.0,Female,47.0,16.0,0.0
,Basic,36.864407168840316,2025-08-31,10.0,Female,54.0,5.0,0.0
C00261,Standard,47.24465457005132,2025-10-28,8.0,Female,40.0,40.0,1.0
C00262,Premium,71.03362936446716,2025-07-23,7.0,Male,44.0,19.0,1.0
C00263,Basic,,2025-10-10,13.0,Female,54.0,37.0,1.0
C00264,Standard,49.56133415632824,,12.0,Female,33.0,8.0,0.0
C00265,Premium,24.64984450475957,2025-05-23,,Male,41.0,28.0,0.0
C00266,Standard,165.5291369586796,2025-01-08,13.0,Female,45.0,47.0,1.0
C00267,Standard,100.52099322915613,2025-04-26,,Female,47.0,,1.0
C00268,Standard,66.75925473489696,2025-12-09,7.0,Female,43.0,30.0,1.0
C00269,Basic,36.99347304121821,2025-09-29,9.0,Male,41.0,22.0,0.0
C00270,Basic,47.778996575575086,2025-06-25,8.0,Female,48.0,52.0,0.0
C00271,Premium,40.231683562397784,2025-08-02,10.0,Female,42.0,44.0,1.0
C00272,Premium,82.8942236401738,,15.0,Male,68.0,8.0,1.0
C00273,,55.53559473581847,2025-02-26,14.0,Male,,19.0,1.0
C00274,Premium,36.53816979868596,,12.0,Female,24.0,26.0,0.0
C00275,Standard,41.41822352646005,2025-10-27,8.0,Male,65.0,9.0,0.0
C00276,Standard,78.29613673097583,2025-11-23,7.0,Male,40.0,10.0,0.0
C00277,Standard,94.82775533035895,2025-02-06,10.0,Female,46.0,51.0,1.0
C00278,Standard,92.14428196644597,,14.0,Female,52.0,25.0,1.0
C00279,Standard,67.68305353003295,2025-11-20,9.0,Male,47.0,24.0,1.0
C00280,Standard,45.19439423995994,2025-08-12,,Male,46.0,54.0,0.0
C00281,Premium,13.672923294268859,2025-10-29,14.0,Female,48.0,15.0,1.0
C00282,Basic,56.31083765604748,2025-07-20,6.0,Male,67.0,20.0,0.0
C00283,Basic,49.96343819729235,2025-04-10,8.0,Female,59.0,25.0,0.0
C00284,Basic,,2025-10-09,8.0,Male,19.0,25.0,1.0
C00285,Standard,51.08965059151052,2025-03-16,16.0,Female,68.0,15.0,0.0
C00286,Basic,29.41539393808552,2025-07-31,5.0,Male,32.0,,1.0
C00287,Basic,62.48874297802762,2025-07-10,5.0,Male,33.0,24.0,1.0
C00288,Standard,64.38685716801443,2025-03-04,,Male,25.0,36.0,0.0
C00289,Basic,65.69077589200782,2025-04-22,11.0,Male,45.0,10.0,1.0
C00290,Standard,73.0141900757524,2025-05-23,10.0,Female,57.0,17.0,1.0
C00291,Basic,63.66555403888566,2025-04-09,,Female,34.0,25.0,1.0
C00292,Basic,42.436601840767054,2025-09-22,10.0,Male,,25.0,1.0
C00293,Premium,48.603146240101104,2025-08-13,11.0,Female,70.0,7.0,0.0
C00294,Basic,51.856119576459776,2025-03-16,7.0,Male,31.0,25.0,0.0
C00295,Basic,52.20105915825608,2025-10-05,10.0,Female,38.0,24.0,1.0
C00296,Standard,74.53807493735586,2025-07-17,10.0,Female,67.0,32.0,1.0
C00297,Standard,64.68248841218504,2025-07-03,6.0,Female,44.0,5.0,1.0
C00298,Basic,114.77347248355936,2025-10-20,9.0,Male,,40.0,1.0
C00299,Standard,120.857310465704,2025-02-26,12.0,Male,49.0,5.0,1.0
C00300,Basic,51.618639530667494,2025-09-06,9.0,Male,33.0,16.0,0.0
C00301,Basic,10.776424010927657,2025-04-24,11.0,Male,45.0,,0.0
C00302,Standard,82.00301311377103,2025-05-20,8.0,Male,55.0,21.0,0.0
C00303,Standard,40.28070095797275,2025-12-25,11.0,Male,72.0,25.0,0.0
C00304,Standard,36.28590728023611,2025-02-10,14.0,Male,,20.0,0.0
C00305,Standard,42.63369467435113,2025-06-02,17.0,Female,66.0,31.0,1.0
C00306,Premium,,2025-08-20,8.0,Female,68.0,3.0,1.0
C00307,Standard,63.875184020718606,2025-04-15,12.0,Female,53.0,37.0,0.0
C00308,Basic,26.79589472225009,2025-04-16,,Female,72.0,17.0,1.0
C00309,Standard,32.49007659300711,2025-10-27,8.0,Male,41.0,28.0,0.0
C00310,Basic,57.35651438550134,2025-05-10,7.0,Female,38.0,11.0,0.0
C00311,,64.14849419468977,2025-06-10,9.0,Male,56.0,17.0,1.0
C00312,Basic,64.62747716081718,2025-09-14,12.0,Male,67.0,21.0,1.0
C00313,Basic,36.49621271072361,2025-08-17,11.0,Female,,19.0,0.0
C00314,Premium,33.80865198842619,2025-12-16,6.0,Female,,31.0,1.0
C00315,Premium,40.82803884262332,2025-07-01,12.0,Male,35.0,7.0,0.0
C00316,Standard,55.03515188947239,2025-01-14,12.0,Female,36.0,9.0,0.0
C00317,Basic,,2025-04-10,14.0,Female,36.0,14.0,1.0
C00318,Basic,22.044169190528475,2025-08-13,10.0,Male,55.0,29.0,0.0
C00319,Basic,45.774698439148715,2025-12-24,6.0,Female,61.0,,0.0
C00320,Basic,29.339995783937038,2025-08-19,7.0,Male,43.0,12.0,0.0
C00321,Standard,25.819394504042062,2025-02-22,7.0,Female,23.0,8.0,0.0
C00322,Standard,73.61182389403636,2025-01-06,15.0,Male,,51.0,1.0
C00323,Standard,62.17001659607452,2025-03-31,10.0,Female,66.0,12.0,1.0
C00324,Basic,59.8473056018653,2025-03-05,11.0,Female,43.0,6.0,1.0
C00325,Premium,72.27175155879935,2025-03-29,13.0,Male,45.0,20.0,1.0
C00326,Standard,41.26998361404694,2025-02-02,11.0,Female,61.0,7.0,1.0
C00327,Standard,42.05456740264041,2025-03-13,3.0,Male,49.0,35.0,1.0
C00328,Standard,119.85890413547384,2025-02-13,18.0,Female,51.0,1.0,1.0
C00329,Basic,45.303966244582625,2025-09-10,10.0,Female,62.0,46.0,1.0
C00330,Basic,67.09274062041635,2025-04-17,8.0,Male,54.0,,1.0
C00331,Basic,50.12779385421894,2025-10-17,,Male,42.0,3.0,
C00332,Standard,23.87231915586371,2025-01-02,16.0,Male,39.0,10.0,0.0
C00333,Basic,22.06894471814266,2025-05-16,8.0,Male,48.0,13.0,0.0
C00334,Basic,39.66341861566936,2025-04-27,14.0,Male,23.0,16.0,0.0
C00335,Basic,76.28402199678975,2025-05-01,11.0,Male,48.0,34.0,1.0
C00336,Basic,68.53466448082064,2025-10-15,13.0,Male,18.0,31.0,1.0
C00337,Premium,72.07115328644171,2025-11-08,14.0,Female,57.0,19.0,1.0
C00338,Standard,33.69011712130407,2025-04-04,10.0,Female,26.0,46.0,0.0
C00339,Basic,95.42799666360999,2025-01-07,,Female,29.0,18.0,1.0
C00340,Basic,33.98997694274066,2025-03-29,11.0,Male,38.0,5.0,0.0
